Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,PTS Scored,PTS Allowed,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF
15,miami fl,22.44,119.4,96.9,65.9,0.077,11.67,111.6,99.9,2.63,2016,1274,1274,77.38,62.92,26.38,54.96,6.92,18.58,17.71,23.17,9.75,27.00,13.33,10.38,6.42,3.58,15.75
16,smu,21.98,119.3,97.3,65.8,0.014,3.37,105.5,102.2,-1.06,2016,1374,1374,79.12,61.28,29.24,57.28,6.60,15.40,14.04,19.92,13.12,27.12,18.36,12.20,6.56,4.76,15.08
17,duke,21.87,121.9,100,67.7,-0.026,11.23,112,100.7,3.52,2016,1181,1181,86.43,70.13,29.09,59.87,9.13,22.70,19.13,26.26,12.09,25.65,14.17,9.30,6.83,4.70,16.17
18,texas a&m,21.26,113.8,92.5,67.1,0.006,8.48,109.6,101.1,3.15,2016,1401,1401,78.50,62.85,27.62,60.38,7.85,22.27,15.42,22.96,13.04,26.85,18.27,10.92,7.35,3.88,17.58
19,arizona,20.97,116.8,95.8,68.3,-0.038,6.66,107.9,101.3,-3.66,2016,1112,1112,82.28,64.84,27.68,56.92,6.68,17.20,20.24,28.24,10.96,29.44,15.12,12.36,5.16,4.60,18.00
20,iowa st.,20.95,121.2,100.3,71.2,-0.062,12.05,110.2,98.1,2.54,2016,1235,1235,82.14,68.76,31.00,61.71,8.52,22.00,11.62,16.14,9.05,28.33,17.29,11.48,6.57,4.48,13.95
21,gonzaga,20.82,116.3,95.5,67.3,-0.038,3.51,107.3,103.8,6.12,2016,1211,1211,84.04,66.56,29.00,57.72,8.16,20.32,17.88,23.20,10.56,29.64,14.20,11.04,5.08,3.12,17.84
22,maryland,20.25,116.2,95.9,67.4,0.016,8.6,109.2,100.6,-1.86,2016,1268,1268,78.42,63.63,27.46,53.92,7.79,20.17,15.71,20.71,9.04,27.38,15.00,13.13,5.63,5.46,15.79
23,iowa,20.24,116.1,95.9,68.8,-0.071,9.12,110.2,101.1,1.28,2016,1234,1234,81.52,65.48,28.76,61.43,8.67,21.76,15.33,21.00,10.81,28.05,17.00,9.43,7.33,5.86,15.62
24,baylor,19.06,118.9,99.8,66.6,-0.012,11.21,109.7,98.4,-3.12,2016,1124,1124,81.86,65.76,28.71,57.81,6.10,15.52,18.33,24.24,13.19,24.71,19.76,12.19,7.95,4.38,18.48
25,vanderbilt,18.76,113.6,94.9,67.8,-0.106,8.6,109.2,100.6,3.68,2016,1435,1435,82.79,61.89,28.53,58.47,8.84,21.63,16.89,24.58,10.05,31.37,15.89,9.95,4.42,6.21,17.84
26,connecticut,18.71,111.9,93.2,65.9,-0.036,6.17,107.6,101.4,-0.91,2016,1163,1163,78.46,60.88,28.29,57.71,7.25,19.04,14.63,18.54,9.46,28.46,14.88,10.96,6.00,5.04,18.71
27,syracuse,18.57,112.7,94.1,65,-0.027,10.21,110.9,100.7,-0.82,2016,1393,1393,73.58,60.21,25.05,55.95,9.26,23.79,14.21,20.47,12.84,26.05,15.05,12.42,8.05,4.95,15.95
28,california,18.32,112.5,94.2,68.1,-0.053,7.65,109.4,101.8,-2.58,2016,1143,1143,78.13,64.00,26.87,56.57,7.48,19.65,16.91,26.09,11.65,30.09,14.91,11.87,3.78,5.65,19.22
29,seton hall,18.27,111.1,92.9,69.7,0.016,8.55,108.5,100,-2.92,2016,1371,1371,75.96,64.36,26.48,57.52,6.28,17.08,16.72,25.12,12.80,28.76,13.96,14.56,7.64,4.84,18.28
30,butler,17.27,118,100.7,67.9,-0.009,8.1,108.5,100.4,-4.1,2016,1139,1139,87.67,69.00,29.90,59.43,7.43,18.48,20.43,27.67,10.71,27.10,16.00,10.38,7.67,3.71,20.05
31,vcu,17.07,112.1,95,69.6,-0.07,3.82,107.3,103.5,0.95,2016,1433,1433,80.88,64.21,29.33,61.71,7.79,20.67,14.42,20.71,12.38,25.54,15.58,11.17,9.67,4.04,18.46
32,cincinnati,17.06,111.2,94.1,64,-0.067,5.2,107.3,102.1,-1.21,2016,1153,1153,75.45,58.14,26.23,59.55,7.86,21.59,15.14,21.27,13.41,25.95,16.32,10.50,9.32,5.82,14.91
33,utah,16.79,115.6,98.8,65.3,0.112,9.79,109.8,100,1.9,2016,1428,1428,81.24,66.68,28.60,57.72,8.08,22.12,15.96,22.08,9.96,29.16,16.64,11.08,5.92,4.64,15.12
34,saint mary's,16.74,117.3,100.6,61.8,0.025,-1.09,104,105.1,-6.66,2016,1388,1388,76.81,59.27,28.04,52.88,9.00,20.85,11.73,16.73,8.54,26.73,17.42,9.73,5.19,3.65,15.31
35,florida,16.64,110.5,93.9,69.2,-0.056,10.21,110.7,100.5,6.76,2016,1196,1196,78.42,63.68,26.32,58.74,7.74,22.84,18.05,27.42,12.74,28.89,14.11,11.58,6.79,5.21,19.05
36,notre dame,16.6,120.6,104,64.6,0.054,10.75,111.3,100.5,-1.64,2016,1323,1323,81.43,67.90,28.43,57.86,7.81,20.52,16.76,21.71,10.71,27.57,14.33,9.57,6.24,4.00,15.43
37,pittsburgh,16.6,114.9,98.3,65.3,-0.011,9.06,110.8,101.7,-7.02,2016,1338,1338,85.00,67.55,29.60,59.55,7.55,19.00,18.25,23.50,13.40,26.65,19.85,11.15,5.20,3.90,17.05
38,wisconsin,16.55,110.1,93.6,63.3,-0.022,9.57,110.3,100.7,1.24,2016,1458,1458,73.65,62.65,24.90,52.30,6.80,17.30,17.05,23.90,10.70,25.05,12.50,12.05,5.85,3.35,16.50
39,texas,16.19,113,96.8,65.3,0.022,12.54,111.5,99,5.55,2016,1400,1400,74.35,63.25,25.35,55.60,7.70,20.55,15.95,23.25,10.60,24.95,12.05,10.15,4.95,4.85,20.00
40,creighton,15.82,113.4,97.6,70.2,-0.095,6.22,107.8,101.6,-4.84,2016,1166,1166,87.89,69.28,30.22,59.39,9.00,23.39,18.44,25.94,9.39,29.39,17.78,11.44,6.39,3.39,19.06
41,stephen f. austin,15.62,112.2,96.6,67.3,0.007,-5.88,102.7,108.6,4.79,2016,1372,1372,83.22,61.57,29.61,58.35,8.22,20.57,15.78,21.13,11.57,23.52,19.30,12.78,8.74,3.26,20.35
42,valparaiso,15.46,107.5,92,66.8,-0.007,0.55,106.2,105.7,3.83,2016,1434,1434,76.29,60.38,26.17,59.00,8.21,21.63,15.75,21.50,13.33,29.75,14.04,13.17,6.88,5.00,19.46
43,saint joseph's,15.37,114.3,98.9,70.2,0.03,4.66,107,102.3,1.97,2016,1386,1386,77.59,65.70,27.04,59.19,6.96,20.81,16.56,22.85,10.11,29.26,15.15,10.22,5.52,3.67,15.59
44,providence,14.49,110,95.5,68.4,0.062,8.93,109.5,100.6,-3.13,2016,1344,1344,76.43,66.39,26.39,58.48,6.83,20.65,16.83,23.22,11.65,26.04,16.43,10.96,6.65,3.83,15.30
45,clemson,14.38,113.3,98.9,63.7,-0.095,6.74,108.7,102,-7.97,2016,1155,1155,72.29,56.65,24.53,53.71,7.41,20.29,15.82,21.71,10.41,27.59,14.47,10.41,6.41,5.35,14.94
46,san diego st.,14.35,104.8,90.5,64.8,0.015,3.56,106.7,103.1,5.73,2016,1361,1361,72.57,59.39,24.35,56.22,6.48,19.26,17.39,25.04,12.22,27.48,11.52,11.43,5.70,5.26,17.83
47,yale,14.33,110.4,96,66,0.026,-0.85,105.5,106.4,-1,2016,1463,1463,78.24,60.19,27.14,55.71,6.90,17.24,17.05,25.29,13.24,27.86,16.10,12.62,5.67,4.81,17.62
48,florida st.,14.26,113.1,98.9,71.6,-0.02,9.52,110.2,100.7,-1.82,2016,1199,1199,81.37,67.58,28.79,58.74,6.79,18.26,17.00,23.95,10.95,27.58,14.21,13.42,7.58,4.68,17.58
49,usc,14.25,113.9,99.7,71,-0.028,7.61,108.7,101.1,-1.65,2016,1425,1425,85.76,69.95,30.10,63.33,8.76,21.24,16.81,23.67,12.38,28.76,16.43,12.48,7.00,6.24,16.24
50,michigan,14.15,114.6,100.5,65.8,0.013,8.96,110.1,101.1,-2.15,2016,1276,1276,79.14,61.57,27.86,55.67,10.43,24.43,13.00,17.19,7.62,26.33,16.38,9.33,5.29,2.14,15.14
51,georgia tech,14.13,113.8,99.6,67.1,0.015,10.67,111.1,100.4,-0.84,2016,1210,1210,79.42,69.63,28.42,60.37,6.47,16.89,16.11,22.32,13.47,27.16,14.84,10.95,5.11,4.79,16.63
52,byu,13.89,113.1,99.2,73.7,-0.05,1.32,106.2,104.9,1.46,2016,1140,1140,86.91,69.27,30.55,63.00,9.86,23.77,15.95,22.91,11.27,30.45,18.45,11.32,6.45,4.27,17.73
53,george washington,13.86,114.8,101,66.2,0.031,3.43,106,102.6,-1.77,2016,1203,1203,78.09,65.00,25.91,56.87,6.74,18.17,19.52,25.04,11.13,27.70,13.87,10.91,6.43,3.61,15.78
54,texas tech,13.78,113.2,99.4,66,0.028,10.66,110.4,99.7,0.62,2016,1403,1403,77.78,67.17,25.78,53.61,6.61,16.61,19.61,25.94,9.33,25.33,14.67,11.06,5.50,5.00,17.89
55,kansas st.,13.46,108.8,95.4,66.7,-0.052,10.42,110.7,100.3,-2.92,2016,1243,1243,75.06,60.59,25.18,54.59,6.06,17.59,18.65,27.47,12.53,25.76,15.18,13.47,7.47,2.82,19.35
57,colorado,12.91,108.8,95.9,69,0.015,7.51,109.5,102,-2.15,2016,1160,1160,81.62,69.67,26.52,58.52,7.86,19.24,20.71,27.48,12.62,30.86,14.90,12.86,5.10,5.33,17.86
58,south carolina,12.87,109,96.2,70.1,0.06,4.58,107.2,102.6,-3.49,2016,1376,1376,80.57,68.00,26.96,59.57,6.43,17.17,20.22,29.48,13.83,28.35,14.65,13.35,6.91,4.22,19.78
59,dayton,12.63,106.6,94,67.8,0.082,3.89,107.3,103.4,2.58,2016,1173,1173,75.12,63.16,26.24,55.56,7.04,19.08,15.60,23.00,10.04,30.04,14.96,13.08,6.12,4.56,18.72
60,hawaii,12.16,108.2,96.1,70.6,0.013,-2.32,102.5,104.9,-8.92,2016,1218,1218,78.08,63.80,26.24,55.80,7.40,21.96,18.20,26.36,10.48,27.72,16.20,13.36,7.68,3.80,19.64
61,houston,11.81,116.7,104.9,66.3,-0.006,0.81,103.9,103.1,-11.35,2016,1222,1222,83.59,67.50,30.23,61.27,6.73,19.05,16.41,22.27,12.91,26.23,14.27,10.36,6.82,4.27,19.32
62,georgetown,11.71,111.4,99.7,67.9,-0.102,9.34,109.6,100.3,2.43,2016,1207,1207,76.80,63.73,24.40,53.47,8.40,22.13,19.60,25.27,9.67,28.20,15.20,13.87,6.20,5.27,21.33
63,virginia tech,11.68,110.6,98.9,69.5,0.015,9.21,110.5,101.2,-8.44,2016,1439,1439,78.68,65.16,26.05,55.79,6.42,16.53,20.16,29.16,10.84,25.32,13.37,11.63,5.95,3.84,17.58
64,oregon st.,11.65,110.7,99.1,67.1,0.043,9.61,109.8,100.2,0.46,2016,1333,1333,75.72,65.83,26.11,57.56,7.00,18.78,16.50,22.89,11.22,26.11,14.89,11.67,8.17,3.67,18.72
65,tulsa,11.5,111.2,99.7,68.4,-0.003,5.54,107,101.4,1.46,2016,1409,1409,76.35,64.50,26.75,58.00,7.45,20.65,15.40,22.70,9.50,26.60,14.65,10.60,7.40,3.30,17.05
66,washington,11.22,110.4,99.2,77.5,-0.016,7.78,108.8,101.1,-1.46,2016,1449,1449,89.06,75.39,29.67,66.39,7.50,21.56,22.22,31.11,14.94,28.56,14.72,14.56,8.50,7.17,24.28
67,northern iowa,11.13,109.6,98.5,62.9,0.013,4.8,106.1,101.3,7.57,2016,1320,1320,70.90,57.81,24.29,50.67,8.14,20.29,14.19,18.71,4.90,25.62,12.10,8.76,6.19,3.00,14.38
68,northwestern,11.04,111.1,100.1,63.7,-0.002,2.73,106.5,103.8,-11.07,2016,1321,1321,78.60,61.25,28.20,57.10,9.80,24.45,12.40,18.15,10.40,27.40,18.70,10.30,3.85,4.55,18.45
69,ucla,10.75,112.6,101.9,69.5,-0.056,9.61,110.5,100.9,4.6,2016,1417,1417,79.93,67.21,29.50,61.07,6.50,16.71,14.43,20.14,10.86,29.36,17.79,11.14,6.57,3.64,15.29
70,princeton,10.63,112.3,101.7,68.6,0.036,-1.6,104.2,105.8,-1.32,2016,1343,1343,81.67,66.48,28.52,58.33,9.57,23.86,15.05,21.05,9.67,28.29,15.81,11.95,6.95,3.62,16.90
71,georgia,10.59,107.9,97.3,67.3,0.065,8.1,109.5,101.4,3.26,2016,1208,1208,71.53,62.26,23.68,54.95,6.42,17.47,17.74,24.26,11.53,29.63,12.95,13.58,5.26,5.58,18.79
72,evansville,10.56,108.3,97.8,68.6,-0.011,-1.44,102.5,103.9,-4.77,2016,1191,1191,78.67,63.96,27.21,53.21,4.83,12.46,19.42,26.42,7.75,28.79,18.71,12.42,5.50,4.25,17.46
73,arkansas,10.45,110.7,100.3,69.7,-0.08,6.4,108.6,102.2,-0.79,2016,1116,1116,85.69,69.31,30.69,62.13,7.75,16.94,16.56,23.63,10.88,27.31,18.88,10.50,7.88,6.38,20.63
74,n.c. state,10.44,114.1,103.7,67.7,-0.037,8.75,110.6,101.8,-1.96,2016,1301,1301,79.19,68.44,26.81,59.06,6.38,16.56,19.19,27.38,14.38,28.63,11.81,11.69,4.06,5.13,15.81
75,memphis,10.1,107.5,97.4,73.4,-0.098,2.01,104.3,102.3,-6.79,2016,1272,1272,79.89,62.32,27.32,62.63,5.58,17.47,19.68,26.42,12.26,29.26,16.26,11.32,8.79,5.37,17.84
76,ohio st.,10,107,97,67.5,0.049,6.23,107.9,101.7,-3.41,2016,1326,1326,74.15,60.55,26.45,57.65,6.35,19.15,14.90,21.85,11.35,30.65,12.60,13.10,5.80,6.00,17.00
77,mississippi,9.88,111.9,102,68.5,0.022,4.44,105.9,101.4,-3.59,2016,1279,1279,79.25,68.60,25.75,59.90,7.80,22.80,19.95,27.25,14.15,27.20,13.95,12.40,8.15,3.50,19.90
78,mississippi st.,9.62,110.1,100.5,69.3,-0.12,5.66,108,102.4,-4.51,2016,1280,1280,79.36,64.43,29.43,58.21,7.21,20.14,13.29,18.36,9.71,27.21,15.86,11.93,6.79,4.71,16.79
79,oakland,9.6,116.3,106.7,73.8,-0.058,-1.06,103.8,104.8,1.52,2016,1324,1324,90.00,74.52,30.33,62.76,8.95,21.62,20.38,26.29,11.67,30.14,17.10,12.00,6.10,3.81,18.76
80,south dakota st.,9.57,111.4,101.8,68.3,0.004,-0.23,104.6,104.8,1.91,2016,1355,1355,76.50,65.04,25.33,55.33,7.25,19.50,18.58,24.88,10.92,27.17,11.46,11.67,4.71,2.21,19.42
81,lsu,9.56,111.9,102.3,72.3,0.022,6.85,108.3,101.4,-3.11,2016,1261,1261,85.89,74.21,30.37,59.37,5.89,16.21,19.26,28.58,10.79,26.79,17.21,10.53,8.84,2.79,16.89
82,rhode island,9.37,108.4,99,64.4,-0.115,2.36,105.3,103,0.33,2016,1348,1348,75.76,61.06,26.06,53.59,8.06,19.06,15.59,23.47,10.06,25.65,13.82,10.82,5.18,5.94,18.29
83,unc wilmington,9.21,110.7,101.5,70.3,0.033,0.85,105.7,104.9,-3.9,2016,1423,1423,80.83,70.39,28.65,60.57,7.35,20.43,16.17,22.74,11.65,26.26,13.57,12.04,7.04,4.26,23.83
84,uc irvine,9.1,106,96.9,67.5,0.093,1.62,105.5,103.9,3.88,2016,1414,1414,74.43,62.70,26.57,55.48,6.74,16.57,14.57,21.09,9.22,29.04,16.00,11.96,6.13,5.35,18.48
85,nebraska,8.82,110.4,101.6,67.1,-0.097,5.74,107.4,101.6,-6.8,2016,1304,1304,79.81,60.69,28.00,57.31,6.06,16.25,17.75,23.94,12.06,27.63,13.38,12.50,8.06,3.13,18.00
86,temple,8.82,107,98.1,65.9,0.095,6.33,107.8,101.5,3.7,2016,1396,1396,71.81,63.57,25.33,60.14,8.29,23.29,12.86,18.57,11.43,25.71,14.62,9.05,5.76,2.95,15.05
87,william & mary,8.79,113.3,104.5,68.3,-0.015,1.93,105.9,103.9,1.24,2016,1456,1456,78.94,66.78,27.67,55.06,8.00,20.78,15.61,21.28,7.83,29.78,16.61,10.11,5.56,4.72,15.78
88,akron,8.63,110.1,101.5,67.5,0.025,-1.32,104.6,105.9,-3.29,2016,1103,1103,79.00,66.48,26.20,59.80,12.20,30.48,14.40,20.48,10.60,26.04,15.36,10.08,5.76,4.08,17.08
89,st. bonaventure,8.63,113.7,105.1,68,-0.001,1.16,105.6,104.4,-4.24,2016,1382,1382,78.27,69.05,25.73,56.32,8.23,21.09,18.59,23.77,10.05,25.50,13.86,11.09,5.91,4.36,18.18
90,boise st.,8.61,109.5,100.9,69.2,-0.05,2.63,105.8,103.2,3.81,2016,1129,1129,79.17,68.06,26.56,57.39,8.33,24.89,17.72,24.89,10.22,25.39,13.78,11.50,6.56,1.89,17.56
91,james madison,8.5,108.1,99.6,66.8,-0.043,-0.06,105.5,105.6,-3.33,2016,1241,1241,76.20,63.70,25.85,57.00,8.95,24.00,15.55,22.45,10.85,30.60,13.10,11.55,4.30,2.75,18.60
92,hofstra,8.43,111.6,103.2,69.5,0.024,1.68,105.9,104.3,-0.26,2016,1220,1220,80.04,71.48,27.52,59.35,8.65,23.22,16.35,24.09,11.52,27.61,15.61,11.61,6.13,3.52,14.96
93,arizona st.,8.38,109.6,101.2,67.9,-0.015,9.11,109.9,100.8,4.11,2016,1113,1113,78.20,66.40,25.67,58.40,8.33,23.53,18.53,25.73,13.47,26.00,14.13,12.20,5.80,2.80,18.13
94,stony brook,8.13,107.3,99.1,67.2,0.049,-5.6,103.3,108.9,4.38,2016,1392,1392,77.96,62.13,28.63,57.38,6.96,16.92,13.75,20.17,11.58,27.17,17.25,11.79,6.21,4.71,15.67
95,monmouth,8.1,107.3,99.2,73,0.021,-2.03,103.7,105.7,6.06,2016,1284,1284,79.85,68.00,26.81,60.37,7.96,21.37,18.26,23.59,10.26,28.56,12.41,12.19,8.78,3.33,20.81
96,alabama,8.07,105.5,97.4,64.8,0.093,9.7,110.5,100.8,4.92,2016,1104,1104,69.12,61.41,23.47,52.53,7.82,22.65,14.35,22.29,10.35,26.53,11.82,13.71,6.53,5.12,17.76
97,marquette,7.91,108,100.1,70.1,0.055,5.64,107.3,101.6,-9.07,2016,1266,1266,81.10,69.55,28.35,57.40,6.20,16.20,18.20,24.65,9.75,28.50,17.25,15.00,8.30,4.60,17.85
98,oklahoma st.,7.75,106.4,98.6,63.9,-0.103,9.11,109.4,100.3,-4.34,2016,1329,1329,74.17,60.17,24.58,53.75,7.08,19.25,17.92,23.50,9.92,28.67,12.83,11.75,6.00,5.17,19.33
99,richmond,7.7,113.6,105.9,68,-0.075,4.31,106.8,102.4,2.39,2016,1350,1350,82.88,67.50,29.50,56.19,9.19,21.81,14.69,21.00,7.75,26.38,19.31,11.25,7.44,3.06,17.69
100,old dominion,7.52,107,99.5,61.1,-0.032,-3.03,104.5,107.6,-0.86,2016,1330,1330,72.36,57.36,27.27,57.41,4.18,12.73,13.64,20.05,12.91,26.82,14.32,9.41,6.36,4.95,16.73
101,stanford,7.46,108,100.5,65.8,0.04,10.41,110.8,100.4,2.43,2016,1390,1390,77.07,66.43,25.86,54.57,6.71,17.43,18.64,28.36,11.43,25.29,13.50,11.07,6.50,4.21,19.29
102,ut arlington,7.45,106.9,99.5,72.2,-0.036,-2.91,102,104.9,-2.05,2016,1426,1426,82.33,65.10,28.29,63.52,9.33,26.62,16.43,23.95,14.52,30.67,18.05,13.52,7.05,3.00,21.71
103,tennessee,7.31,111,103.7,68.8,-0.051,7.81,108.7,100.9,1.99,2016,1397,1397,81.47,67.87,27.80,60.00,7.80,20.93,18.07,24.87,11.80,29.07,14.93,10.93,5.73,5.33,17.67
104,iona,7.13,110.5,103.4,71.9,-0.005,-1.78,103.7,105.5,5.71,2016,1233,1233,80.68,67.55,28.68,60.18,10.68,27.00,12.64,17.82,10.59,26.95,18.05,12.23,7.23,4.55,18.18
105,uc santa barbara,6.83,106.3,99.5,66.9,-0.006,3.12,105.7,102.6,8.5,2016,1364,1364,75.29,61.94,27.29,59.76,8.06,20.41,12.65,16.94,10.94,27.47,15.65,11.24,6.59,3.41,18.59
106,davidson,6.73,114.3,107.6,70.2,0.078,4.81,107.7,102.9,2.02,2016,1172,1172,85.16,74.53,28.79,60.16,10.11,26.05,17.47,23.05,9.21,27.89,16.53,10.05,4.79,3.68,17.42
107,long beach st.,6.64,108.5,101.9,70.2,0.063,6.18,107,100.9,14.67,2016,1253,1253,74.39,66.44,25.22,58.67,8.00,21.44,15.94,23.72,10.33,27.44,15.00,11.83,6.72,2.72,20.22
108,fresno st.,6.63,107.4,100.8,69,0.085,1.65,105.3,103.7,-2.89,2016,1201,1201,77.26,68.65,26.30,58.61,6.91,18.70,17.74,25.00,10.13,27.04,13.65,10.39,8.39,3.87,20.83
109,chattanooga,6.5,107.5,101,66.3,0.132,-3.18,104.4,107.6,-0.04,2016,1151,1151,77.63,66.07,25.96,56.11,7.63,20.30,18.07,24.30,10.78,25.33,14.59,11.48,7.52,5.04,17.19
110,cal st. bakersfield,6.26,104,97.8,67.6,-0.003,-6.5,100.6,107.1,-2.99,2016,1167,1167,75.33,59.71,26.71,56.38,5.90,15.67,16.00,24.00,11.81,26.52,16.57,12.24,7.76,5.48,20.67
111,new mexico st.,6.13,103.3,97.2,65.3,-0.014,-4.68,102.1,106.8,-1.4,2016,1308,1308,76.14,60.43,27.57,57.67,5.71,16.67,15.29,22.29,12.86,30.38,15.19,13.33,4.33,4.90,16.24
113,columbia,5.67,112.4,106.7,65.1,-0.001,-4.07,102.3,106.4,-4.95,2016,1162,1162,75.11,64.11,24.42,53.32,9.32,23.74,16.95,22.74,8.47,25.21,14.58,10.58,6.26,3.68,18.32
114,milwaukee,5.2,112.5,107.3,65.9,-0.077,-2.01,104.1,106.1,-0.91,2016,1454,1454,80.11,67.94,26.56,56.56,8.83,24.61,18.17,23.06,9.06,26.50,17.28,10.28,5.06,3.00,17.22
115,new mexico,5.14,108.3,103.2,70.9,-0.035,1.77,104.7,102.9,0.28,2016,1307,1307,80.82,66.00,27.76,55.65,6.29,16.47,19.00,25.24,9.94,28.82,16.00,15.06,6.12,4.53,20.71
116,uab,5.12,109.3,104.2,68.2,0.083,-4,103.2,107.2,-4.51,2016,1412,1412,79.48,68.48,28.28,58.12,7.72,19.48,15.20,21.40,11.16,27.80,18.96,12.48,6.44,6.04,17.24
117,unlv,5.09,103.4,98.3,73,-0.044,2.51,106.2,103.7,3.62,2016,1424,1424,84.94,72.31,28.25,62.00,8.00,22.88,20.44,28.69,11.44,28.63,16.81,12.94,8.75,5.50,20.19
118,wake forest,4.78,107.3,102.5,71.4,0.026,11.59,112.6,101,4.24,2016,1448,1448,79.91,73.09,26.82,59.09,6.91,19.36,19.36,27.73,13.09,28.64,14.00,14.09,5.91,5.73,19.45
119,middle tennessee,4.76,104.6,99.9,67.6,0.088,-0.58,105.5,106.1,2.11,2016,1292,1292,75.59,66.36,27.05,57.82,8.59,20.82,12.91,21.45,10.45,27.55,13.91,11.50,6.32,3.86,20.36
120,illinois st.,4.63,104,99.4,67.2,0.01,1.65,103.8,102.1,3.39,2016,1229,1229,69.06,58.76,24.12,54.35,7.76,20.88,13.06,19.29,10.18,25.82,14.06,11.59,6.24,3.65,18.35
121,albany,4.25,106.9,102.7,66.2,-0.03,-8.12,100.8,108.9,-4.63,2016,1107,1107,77.57,63.57,26.09,54.61,6.30,17.39,19.09,25.13,10.87,28.26,13.57,13.00,6.83,1.87,17.04
122,college of charleston,4.16,98.6,94.4,63.8,-0.058,0.33,106.2,105.9,-2.63,2016,1158,1158,67.50,58.13,24.00,54.06,6.38,18.69,13.13,19.56,10.00,25.56,12.69,12.81,7.81,2.44,19.63
123,toledo,4.02,108.6,104.5,68.9,-0.121,-2.13,103.8,105.9,-5.35,2016,1405,1405,85.00,68.19,29.19,57.94,9.19,21.31,17.44,22.81,9.50,28.31,18.19,10.81,4.88,2.31,16.13
124,nevada,3.94,102.4,98.5,71.3,0.065,1.25,105.9,104.6,-0.73,2016,1305,1305,75.76,67.59,26.18,61.41,4.76,16.29,18.65,26.06,13.06,29.18,12.59,11.47,7.06,5.29,20.18
