,Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,TeamID
55,56,smu,13.96,110.7,96.7,68.9,-0.012,8.24,104.6,96.4,-8.46,1374
56,57,minnesota,13.71,108.7,94.9,70.2,0.011,17.52,111.5,94,-0.17,1278
57,58,michigan st.,13.48,107.3,93.9,68.5,0.09,18.02,112.5,94.5,-0.79,1277
58,59,north texas,13.47,106.8,93.3,62.9,-0.033,5.96,104.4,98.4,5.75,1317
59,60,richmond,13.47,110.8,97.3,68.7,-0.039,9.25,107.2,97.9,10.87,1350
60,61,xavier,13.29,110.7,97.5,68.1,0.003,10.57,108,97.4,2.06,1462
61,62,boise st.,12.98,109.7,96.8,69.4,-0.008,5.02,105,100,15.07,1129
62,63,auburn,12.91,111.4,98.5,71.2,-0.044,14.02,108.8,94.8,5.8,1120
63,64,n.c. state,12.86,110.2,97.4,68,0.007,11.08,109.3,98.2,-6.2,1301
64,65,davidson,12.78,114.1,101.3,62.7,-0.074,7.29,104.8,97.5,1.19,1172
65,66,st. john's,12.76,111.3,98.6,73.6,0.014,11.31,107.7,96.4,-3.06,1385
66,67,colorado st.,12.36,107.9,95.5,69.2,0.05,3.32,103.5,100.2,1.6,1161
67,68,utah,12.35,110.9,98.5,67.9,-0.077,11.93,108.5,96.6,-6.68,1428
68,69,wright st.,12.26,108.4,96.2,71.3,-0.078,-3.1,102.7,105.8,5.91,1460
69,70,toledo,12.26,114.3,102.1,68.9,-0.024,3.3,104.9,101.6,6.04,1405
70,71,uc santa barbara,12.2,109.3,97.1,66,0.054,-0.41,101.5,101.9,2.57,1364
71,72,wichita st.,12.14,109.2,97.1,67.3,0.089,10,106.2,96.2,13.11,1455
72,73,oregon st.,11.91,110,98.1,65.4,0.074,12.29,109.1,96.8,-5.8,1333
73,74,buffalo,11.87,107.3,95.5,73.3,-0.098,3.59,105.9,102.3,2.83,1138
74,75,northwestern,11.87,104.7,92.8,68.6,-0.091,19.83,113,93.2,-18.47,1321
75,76,louisiana tech,11.75,104,92.2,69.6,0.025,2.07,102.6,100.5,-8.81,1256
76,77,providence,11.25,107.5,96.2,66.5,0.001,13.81,109.4,95.6,7.09,1344
77,78,saint mary's,11.1,101.6,90.5,63.1,0.037,9.92,108.1,98.2,2.26,1388
78,79,mississippi st.,11.08,106.5,95.4,65.6,-0.032,11.42,107,95.6,-1.44,1280
79,80,marquette,10.83,107.6,96.8,67.7,-0.007,14.3,109.7,95.4,7.01,1266
80,81,stanford,10.82,104.4,93.6,69.4,0.022,13.25,109.4,96.2,9.23,1390
81,82,ohio,10.64,112.8,102.2,69.3,0.027,3.93,105.2,101.3,1.4,1325
82,83,dayton,10.63,108.3,97.7,66.1,0.006,8.11,105.1,97,3.86,1173
83,84,notre dame,10.49,113.8,103.3,67.4,-0.029,14.52,110.8,96.3,13.85,1323
84,85,abilene christian,10.39,103.3,92.9,69.9,-0.027,-7.74,97.8,105.6,4.68,1101
85,86,colgate,9.83,110.4,100.6,72.5,0.048,-5.43,99.7,105.1,-99,1159
86,87,missouri st.,9.72,107.8,98.1,69.3,0.039,3.98,104,100,-12.25,1283
87,88,marshall,9.62,109.6,99.9,72.8,-0.068,1.87,102.9,101,0.67,1267
88,89,western kentucky,9.45,106.8,97.3,67.7,0.096,4.22,103.5,99.2,10.22,1443
89,90,pittsburgh,9.17,108.1,98.9,68.5,-0.068,10.85,108.5,97.6,-4.54,1338
90,91,uab,9.07,103.8,94.7,67.2,0.005,-1.31,100,101.3,-12.35,1412
91,92,furman,8.91,109.8,100.9,67.9,-0.086,2.57,104.2,101.6,2.63,1202
92,93,winthrop,8.82,105,96.2,73.3,0.036,-5.53,99.6,105.1,4.17,1457
93,94,nevada,8.76,108.6,99.8,70,-0.012,5.75,104.4,98.6,6.56,1305
94,95,georgia,8.52,107.8,99.3,73.4,0.048,11.93,107.5,95.6,-6.48,1208
95,96,nebraska,8.49,102.1,93.6,72,-0.128,18.81,112.5,93.7,5.25,1304
96,97,liberty,8.27,109.3,101.1,63.3,-0.023,-5.46,99.1,104.6,1.22,1251
97,98,ucf,8.21,106.1,97.9,67.4,0.053,12.15,106.7,94.6,24.5,1416
98,99,vanderbilt,8.21,108.8,100.6,68.9,-0.128,12.39,107.6,95.2,-3.08,1435
99,100,unc greensboro,8.13,104.2,96.1,68.4,0.005,0.89,103.3,102.4,-2.65,1422
100,101,san francisco,8.06,106.5,98.4,67.9,-0.104,7.09,106,98.9,4.84,1362
101,102,washington st.,8.01,100.8,92.8,67.8,-0.01,8.65,107,98.4,-9.67,1450
102,103,loyola marymount,7.99,107.2,99.2,66.2,0.033,7.3,105,97.7,5.77,1258
103,104,akron,7.77,108.6,100.8,68.7,-0.001,4.63,106.1,101.4,22.2,1103
104,105,rhode island,7.77,104.9,97.1,69.2,-0.109,9.61,106.6,97,10.83,1348
105,106,belmont,7.67,109.4,101.8,71,0.05,-5.88,98.8,104.7,-6.03,1125
106,107,grand canyon,7.06,103.7,96.6,65.4,-0.061,-3.77,100.4,104.2,0.95,1213
107,108,kent st.,6.92,105.8,98.9,70,0.023,4.26,106.7,102.4,8.42,1245
108,109,eastern washington,6.82,107.8,101,72.3,-0.081,-2.91,100.8,103.7,18.37,1186
109,110,arizona st.,6.82,106.8,100,72.8,0.026,12.76,109.1,96.4,8.72,1113
110,111,uc riverside,6.66,102.8,96.2,66.9,-0.066,-0.69,101.8,102.5,-0.82,1415
111,112,uc irvine,6.6,100.5,93.9,67.6,0.031,1.66,102.8,101.1,5.07,1414
112,113,pepperdine,6.43,107.1,100.7,71.4,-0.002,9.84,107,97.2,7.32,1337
113,114,south dakota st.,6.31,111,104.7,71.1,0.008,0.61,103.2,102.6,7.59,1355
114,115,massachusetts,6.01,105.6,99.6,72,-0.057,4.1,103.1,99,0.49,1269
115,116,butler,5.96,102.8,96.9,64.8,0.069,14.88,110,95.2,-0.33,1139
116,117,cincinnati,5.95,103.4,97.5,70.9,0.115,10.68,107,96.4,9.36,1153
117,118,indiana st.,5.79,102.7,96.9,67.1,0.079,6.68,105.7,99,8.97,1232
118,119,duquesne,5.46,102,96.5,69.1,0.007,7.11,105.2,98.1,2.36,1182
119,120,yale,5.26,107.1,101.8,68.2,0,-99,0,200,-99,1463
120,121,tulsa,4.86,102.4,97.6,65.7,-0.024,8.47,105.3,96.8,-3.54,1409
121,122,pacific,4.78,103.1,98.3,67.2,0.021,8.79,106.8,98,3.91,1334
122,123,south carolina,4.76,103.7,98.9,74.8,-0.055,14.95,109.3,94.4,8.73,1376
123,124,bowling green,4.7,107,102.3,70.4,-0.018,4.12,105.7,101.6,1.68,1132
124,125,wofford,4.66,106.4,101.8,66.1,0.025,3.38,104.9,101.5,6.21,1459
125,126,east tennessee st.,4.29,103.1,98.9,65.6,-0.063,3.91,104.9,101,4.78,1190
126,127,weber st.,4.01,107,103,72.1,-0.028,-4.39,100.3,104.6,5.89,1451
127,128,mercer,3.71,106.2,102.5,68,-0.002,2.06,104,101.9,1.5,1273
128,129,utep,3.53,103.6,100.1,68.1,-0.065,5.29,103.8,98.5,18.87,1431
129,130,vermont,3.5,105.5,102,66.6,-0.069,-7.92,96.3,104.2,-99,1436
130,131,morehead st.,3.47,100.6,97.2,65.4,0.146,-1.11,102,103.1,16.33,1287
131,132,depaul,3.45,97.7,94.3,70.8,-0.048,13.74,109.2,95.5,-8.85,1177
132,133,george mason,3.38,101.3,98,68.3,0.046,3.62,104.5,100.9,-4.78,1206
133,134,miami fl,3.38,102.1,98.7,68,0.019,12.07,109.3,97.3,-7.87,1274
134,135,california,3.25,103.7,100.5,65,-0.067,12.02,108.9,96.8,1.29,1143
135,136,oral roberts,3.05,108.6,105.6,71.6,0.028,1.77,104,102.2,21.92,1331
136,137,tcu,2.89,104.5,101.7,66.8,0.089,11.72,107.7,96,0.19,1395
137,138,texas a&m,2.81,101.7,98.9,64.6,0.018,8.51,106.6,98.1,-6,1401
138,139,temple,2.7,101.3,98.6,68.9,-0.092,8.47,105.6,97.2,-13.51,1396
139,140,north dakota st.,2.39,103.4,101,64.8,-0.033,0.51,103.9,103.4,10.69,1295
140,141,bradley,2.23,103.6,101.4,66.1,-0.086,5.94,105.5,99.5,6,1133
141,142,southern utah,2.12,108,105.9,70.1,0.082,-4.92,100,105,-1.65,1381
142,143,ball st.,2.01,103.3,101.3,70.9,-0.049,4.77,106.3,101.5,4,1123
143,144,boston college,1.99,105.1,103.1,71.1,-0.097,14.14,110.8,96.6,13.09,1130
144,145,cal st. bakersfield,1.95,103.8,101.9,63.9,-0.024,-0.02,101.9,101.9,1.78,1167
145,146,old dominion,1.86,101.3,99.5,67.7,0.14,3.1,102.8,99.7,5.89,1330
146,147,tulane,1.78,99.5,97.7,67.6,0.013,6.83,104.1,97.3,-14.82,1408
147,148,vmi,1.43,107.9,106.4,70.1,-0.048,3.02,104.6,101.6,5.28,1440
148,149,kansas st.,1.28,99.4,98.2,65.7,0.026,13.71,109.7,95.9,-1.93,1243
149,150,stephen f. austin,1.24,103.1,101.9,69.8,0.047,-7.87,98,105.9,-2.35,1372
150,151,miami oh,1.22,106,104.8,66,0.002,3.13,104.9,101.7,-0.74,1275
151,152,georgia st.,1.19,105.7,104.5,70.8,0.076,-1.74,101.2,102.9,4.7,1209
152,153,drexel,1.13,106.6,105.5,64.2,0.007,-2.14,101.2,103.3,-5.59,1180
153,154,utsa,1.04,106.7,105.6,72,0.021,3.32,102.5,99.2,4.34,1427
154,155,detroit,1.02,109.4,108.4,67.4,-0.051,-1.69,103.5,105.2,8.8,1178
155,156,chattanooga,0.98,103,102,66.6,0.102,0.67,103.2,102.5,-3.6,1151
156,157,santa clara,0.96,99.8,98.9,70.6,0.147,4.46,103.7,99.2,-0.33,1365
157,158,northern iowa,0.73,103.4,102.7,69.1,-0.022,7.24,105.1,97.9,14.8,1320
158,159,new mexico st.,0.71,103.7,103,64.9,-0.066,-3.53,99.7,103.3,-5.11,1308
159,160,jacksonville st.,0.7,105,104.3,66.1,0.017,-2.68,101,103.7,4.72,1240
160,161,east carolina,0.56,99.2,98.6,68.1,-0.016,5.73,104.3,98.5,-6.87,1187
161,162,navy,0.55,103.9,103.3,66.2,0.179,-5.03,98.1,103.1,7.91,1298
162,163,washington,0.37,102.3,101.9,71.2,-0.061,14.28,110,95.7,9.71,1449
163,164,cleveland st.,0.37,100.7,100.3,66.3,0.199,-0.61,105.2,105.8,20.51,1156
164,165,northeastern,0.32,98.6,98.3,67.2,0.056,3.18,105.2,102.1,15.32,1318
165,166,princeton,0.3,104,103.7,66.9,0,-99,0,200,-99,1343
166,167,umbc,0.19,100.7,100.5,67.8,-0.013,-4.54,98.6,103.2,-3.12,1420
167,168,south dakota,0.19,106.9,106.7,69.2,-0.015,-0.48,102.9,103.4,10.26,1377
168,169,murray st.,0.1,103.3,103.2,66.4,-0.177,-5.03,99.5,104.5,-3.31,1293
169,170,wake forest,-0.13,101.4,101.5,67.2,-0.109,13.75,110.5,96.7,-17.69,1448
170,171,wyoming,-0.14,108.9,109,69.3,0.046,0.77,102.1,101.3,-12.57,1461
171,172,iowa st.,-0.22,100.1,100.3,70.1,-0.12,17.1,111.3,94.2,3.42,1235
172,173,eastern kentucky,-0.3,101,101.3,75,0.085,-5.36,99.7,105.1,-8.01,1184
173,174,james madison,-0.3,103.6,103.9,72.1,-0.048,-1.79,101,102.8,-0.16,1241
174,175,south florida,-0.34,100.6,100.9,67,0.049,9.53,105.8,96.3,1.99,1378
175,176,coastal carolina,-0.36,100.2,100.6,70.9,-0.081,-6.18,98.8,105,-12.98,1157
176,177,florida atlantic,-0.71,102,102.7,68.3,-0.098,-1.37,101.2,102.5,-0.53,1194
177,178,unlv,-0.72,103.6,104.3,66.3,-0.037,4.98,104,99.1,12.89,1424
178,179,bryant,-0.73,103.5,104.2,73.5,-0.039,-7.9,98.2,106.1,4.85,1136
179,180,gardner webb,-0.8,104.5,105.3,66.9,-0.165,-3.72,100.3,104,12.89,1205
180,181,harvard,-1.04,101.9,102.9,68.3,0,-99,0,200,-99,1217
181,182,sam houston st.,-1.07,101,102.1,71.1,0.092,-2.93,100.3,103.3,15.24,1358
182,183,iona,-1.17,100.3,101.5,68.2,0.038,-7.02,97.5,104.5,-0.36,1233
183,184,texas st.,-1.22,99.5,100.7,62.7,0.072,-6.2,98.4,104.6,-8.55,1402
184,185,bellarmine,-1.27,107.4,108.7,64.6,-0.014,-5.54,99.4,104.9,7.24,1468
185,186,rice,-1.67,104.2,105.8,69.5,0.039,2.73,102.1,99.4,-12.13,1349
186,187,siena,-1.93,99.7,101.6,66.4,-0.057,-7.45,96.5,104,-99,1373
187,188,hofstra,-2.14,105.9,108.1,68.3,0.052,-1.22,101.6,102.8,5.25,1220
188,189,valparaiso,-2.52,96.7,99.2,67.2,-0.028,6.47,105.7,99.2,5.26,1434
189,190,southern illinois,-2.55,100,102.5,66.4,0.075,4.84,104.4,99.5,-4.55,1356
190,191,army,-2.56,98.6,101.2,68.4,0.048,-1.05,103,104.1,3.13,1119
191,192,fresno st.,-2.69,99.5,102.2,66,0.065,4.33,104.3,99.9,-99,1201
192,193,hartford,-2.8,96.9,99.7,67.1,0.081,-5.1,99.1,104.2,-0.15,1216
193,194,la salle,-3.13,102,105.2,68.8,-0.012,7.49,104.8,97.3,6.24,1247
194,195,illinois st.,-3.21,98.8,102,69.2,-0.112,5.48,105.4,99.9,2.1,1229
195,196,hawaii,-3.27,101,104.3,67.1,-0.02,-0.78,101,101.7,-99,1218
196,197,saint joseph's,-3.38,101.4,104.8,72.3,0.027,10.95,107.8,96.8,15.44,1386
197,198,nicholls st.,-3.64,100.1,103.7,71.8,0.121,-7.49,98.3,105.8,6.94,1311
198,199,northern kentucky,-3.67,104,107.6,64.9,0.056,-2.59,102.1,104.7,4.15,1297
199,200,montana,-3.69,98.1,101.8,66,0.009,1,103.7,102.7,16.83,1285
200,201,evansville,-3.75,105.9,109.6,62.2,0.011,4.09,103.4,99.3,-4.53,1191
201,202,elon,-3.76,96.8,100.5,66.7,0.014,-1.48,102.1,103.6,-4.22,1189
202,203,norfolk st.,-3.79,99.4,103.2,67.7,0.048,-7.97,97.3,105.2,-0.57,1313
203,204,louisiana,-3.8,100.3,104.1,71.2,0.096,-3.88,100.2,104.1,-1.73,1418
204,205,san diego,-4.06,96.9,101,70.4,-0.025,9.24,107.2,98,7.55,1360
205,206,campbell,-4.29,103,107.3,64.2,0.064,-5.17,99,104.1,-1.91,1144
206,207,umkc,-4.36,95.9,100.2,62.8,-0.074,0.67,104.1,103.5,11.53,1282
207,208,appalachian st.,-4.39,98.4,102.8,65.7,0.039,-2.76,100.4,103.1,5.61,1111
208,209,utah valley,-4.5,100.1,104.6,70.5,0.007,-0.45,102.5,103,11.27,1430
209,210,loyola md,-4.57,96.9,101.5,68.6,-0.19,-4.15,101.9,106.1,-99,1259
210,211,milwaukee,-4.58,102,106.5,70,-0.01,-1.95,101.9,103.8,0.59,1454
211,212,oakland,-4.76,104,108.7,69.9,0.046,2.52,105.5,102.9,19.99,1324
212,213,south alabama,-4.78,103.2,108,66.8,0.043,-3.05,99.2,102.3,-1.15,1375
213,214,austin peay,-4.81,103.9,108.7,67,-0.071,-5.37,98.5,103.9,-1.65,1122
214,215,the citadel,-4.83,104,108.8,74.4,0.064,2.56,104.1,101.6,-10.48,1154
215,216,penn,-4.86,100.2,105.1,69.4,0,-99,0,200,-99,1335
216,217,cornell,-4.93,101.4,106.3,67.1,0,-99,0,200,-99,1165
217,218,texas southern,-5.07,99.3,104.4,71.6,0.06,-9.43,94.4,103.8,13.61,1411
218,219,saint peter's,-5.17,90.5,95.6,66.9,-0.006,-6.45,98,104.5,4.23,1389
219,220,wagner,-5.19,101,106.2,65.8,0.068,-8.31,97.8,106.1,19.98,1447
220,221,morgan st.,-5.27,100.1,105.3,72.1,-0.037,-8.25,95.9,104.1,0.02,1288
221,222,uc davis,-5.28,97.4,102.6,69.4,0.087,-2.33,101,103.3,-1.73,1413
222,223,montana st.,-5.35,98.8,104.2,68.5,0.055,-2.52,101.5,104,4.18,1286
223,224,george washington,-5.57,101.8,107.4,68.1,-0.094,0.97,99.9,99,-6.19,1203
224,225,delaware,-5.69,97.1,102.8,66.8,-0.069,-3.87,101.8,105.7,-1.9,1174
225,226,charleston,-5.97,102.3,108.3,63.8,-0.03,-1.93,101.4,103.4,2.63,1158
226,227,charlotte,-5.98,97.4,103.4,62.9,-0.032,1.23,102.5,101.3,-4.59,1150
227,228,monmouth,-6,98.9,104.9,74.4,0.05,-6.32,96.8,103.1,-3.58,1284
228,229,umass lowell,-6.02,99.8,105.8,69.2,0.055,-1.83,100.2,102,12.62,1262
229,230,mount st. mary's,-6.14,94.7,100.8,61.8,-0.004,-6.25,99.4,105.6,11.49,1291
230,231,seattle,-6.19,97.9,104.1,69,-0.036,-2.73,101.7,104.4,-3.37,1370
231,232,stony brook,-6.31,94.7,101.1,66.7,-0.09,-3.1,100.1,103.2,2.35,1392
232,233,albany,-6.62,97.3,103.9,69.8,-0.079,-4.48,98.8,103.3,-3.77,1107
233,234,little rock,-6.72,98.3,105,67.2,-0.04,-2.9,99.6,102.5,3.86,1114
234,235,unc asheville,-6.74,100.7,107.5,68.5,-0.008,-5.35,99.3,104.7,-4.48,1421
235,236,western carolina,-6.76,99.9,106.6,70.7,0.031,1.95,104.3,102.4,-3.74,1441
236,237,radford,-6.76,97.8,104.5,63.7,0.023,-4.43,100,104.4,8.18,1347
237,238,youngstown st.,-6.82,102.3,109.1,67.8,0.032,-3.83,101.9,105.8,-10.01,1464
238,239,longwood,-6.82,98,104.8,65.3,-0.025,-4.55,100,104.6,2,1255
239,240,prairie view a&m,-6.84,94.4,101.2,69.4,0.111,-14.4,92.9,107.3,6.58,1341
240,241,lipscomb,-7.06,100.6,107.7,66.3,0.024,-4.24,99.8,104.1,2.95,1252
241,242,unc wilmington,-7.08,102.1,109.2,69.2,-0.122,-4.53,100,104.5,-2.06,1423
242,243,cal baptist,-7.11,103.9,111,70.8,-0.016,-5.56,99,104.6,-9.89,1465
243,244,uc san diego,-7.11,101.2,108.3,70,0.023,4.51,103.2,98.7,4.51,1471
244,245,northern colorado,-7.24,98.4,105.6,68.1,-0.004,-3.47,100,103.4,13.39,1294
245,246,stetson,-7.32,101.1,108.5,68.6,-0.014,-3.28,101,104.3,8,1391
246,247,brown,-7.43,95.2,102.7,69.9,0,-99,0,200,-99,1135
247,248,niagara,-7.58,99.7,107.3,64.7,-0.041,-5.87,96.4,102.2,10.37,1310
248,249,southern miss,-7.6,93.2,100.8,67.7,-0.078,1.38,102,100.6,-5.89,1379
249,250,canisius,-7.65,99.1,106.8,70.8,0.058,-5.68,95.8,101.5,-99,1145
250,251,ut arlington,-7.71,98.2,105.9,69.5,0.051,-2.85,99.6,102.5,13.05,1426
251,252,arkansas st.,-7.74,99.1,106.9,67.9,-0.041,-3.74,99.2,103,8.13,1117
252,253,green bay,-7.77,102.5,110.3,66.2,-0.042,-0.94,103.2,104.1,13.95,1453
253,254,long beach st.,-8.07,97,105.1,74,-0.011,-0.67,101.6,102.3,3.72,1253
254,255,boston university,-8.33,100.5,108.8,65.8,0.008,-1.8,102.5,104.3,-99,1131
255,256,portland st.,-8.36,92.4,100.7,69.5,-0.135,-3.96,100.3,104.3,6.72,1340
256,257,lafayette,-8.66,103,111.7,68.9,0.062,-8.63,96.5,105.2,-99,1248
257,258,sacramento st.,-8.89,101.8,110.7,65.5,-0.03,-0.74,102.3,103,3.29,1170
258,259,iupui,-8.91,96.3,105.2,72.4,0.076,-2.28,102.1,104.3,-15.79,1237
259,260,cal st. fullerton,-8.94,101,109.9,72,-0.044,-1.43,101.5,102.9,-2.45,1168
260,261,samford,-9.27,96.4,105.7,72.9,-0.035,2.76,104,101.2,-3.6,1359
261,262,american,-9.32,96.5,105.9,67.7,0.065,-1.28,101.1,102.3,-99,1110
262,263,tarleton st.,-9.42,96.7,106.1,64.6,-0.052,-0.14,101.4,101.6,10.85,1470
263,264,new hampshire,-9.54,96,105.5,66.7,0.056,-6.25,97.2,103.5,-4.26,1306
264,265,marist,-9.54,91.5,101.1,66.3,0.082,-7.49,97,104.5,-13.45,1265
265,266,idaho st.,-9.64,93.1,102.7,64.4,0,-3.91,100.2,104.1,4.1,1226
266,267,jackson st.,-9.73,88,97.7,68.7,0.111,-12.84,93.4,106.2,12.78,1238
267,268,georgia southern,-9.79,94.1,103.9,66.9,0.032,-3.33,100.3,103.7,-1.35,1204
268,269,liu,-9.82,93.5,103.4,74,-0.021,-8.88,98.3,107.1,-99,1254
269,270,southeast missouri st.,-9.83,95.5,105.3,68.6,-0.003,-4.55,99.7,104.2,-0.77,1369
270,271,western michigan,-9.93,94.9,104.8,66.2,-0.036,4.67,106.5,101.8,5.45,1444
271,272,cal st. northridge,-10.09,100.9,111,70.4,0.059,-0.54,101.4,102,1.8,1169
272,273,bucknell,-10.32,97.3,107.7,72.1,-0.018,-6.76,99.8,106.5,-99,1137
273,274,dartmouth,-10.43,94.9,105.3,66.8,0,-99,0,200,-99,1171
274,275,purdue fort wayne,-10.49,100.4,110.9,69.8,-0.025,-3.51,102.2,105.7,-19.61,1236
275,276,central michigan,-10.52,100.3,110.8,72.3,-0.046,1.34,103.8,102.4,-6.08,1141
276,277,florida a&m,-10.65,90.2,100.8,68.6,-0.011,-6.4,98.5,104.9,12.33,1197
277,278,new orleans,-10.78,97.2,108,72.6,-0.093,-8.36,98.4,106.8,2.23,1309
278,279,high point,-10.84,96.2,107,66.4,-0.033,-4.67,99.7,104.4,0.21,1219
279,280,north dakota,-10.85,97.4,108.2,67.4,0.077,0.24,103.9,103.6,5.72,1315
280,281,north alabama,-10.85,94.4,105.2,70.8,0.051,-5.37,100.1,105.5,3,1466
281,282,merrimack,-10.86,90.9,101.7,66.8,0.014,-8.75,98.6,107.3,-99,1467
282,283,eastern michigan,-10.91,97.2,108.1,68.3,-0.039,5.64,107,101.4,18.37,1185
283,284,illinois chicago,-10.92,93.3,104.2,68.4,0.05,-3.11,102.4,105.5,-0.88,1227
284,285,north carolina a&t,-10.95,95.4,106.4,70.8,0.078,-5.13,97.7,102.8,2.62,1299
285,286,columbia,-10.98,94.7,105.7,69.2,0,-99,0,200,-99,1162
286,287,quinnipiac,-11.07,89.5,100.6,72.2,-0.042,-7.4,97.4,104.8,-5.01,1346
